name,latitude,longitude,country,population,is_capital,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,dt
Changchun,43.9,125.2,CN,7674439.0,False,2.0,250.34,0.02,8.23,79.39,1.57,3.42,7.19,19.25,1714124299.0
Wailua Homesteads,22.065,-159.377,US,5900.0,False,2.0,198.6,0.0,0.18,98.71,0.19,3.6,19.56,0.02,1714124301.0
Alotau,-10.3167,150.433,PG,11624.0,False,1.0,211.95,0.0,0.1,31.83,0.12,1.99,2.74,0.0,1714124302.0
Mandi Bahauddin,32.5861,73.4917,PK,157352.0,False,3.0,370.5,0.04,1.5,135.9,1.42,9.88,17.98,7.41,1714124308.0
Port Shepstone,-30.7411,30.4547,ZA,52793.0,False,1.0,263.69,0.06,1.29,39.34,1.18,1.59,2.14,0.17,1714124310.0
Katsuura,35.1525,140.321,JP,17324.0,False,3.0,250.34,0.0,2.1,124.45,1.28,12.89,31.35,0.39,1714124316.0
Lipany,49.1528,20.9619,SK,6484.0,False,3.0,211.95,0.13,0.54,114.44,0.35,2.1,2.35,2.01,1714124317.0
Batticaloa,7.717,81.7,LK,129222.0,False,1.0,236.99,0.01,0.05,43.99,0.06,1.07,1.99,0.31,1714124318.0
Jiayuguan,39.8112,98.2862,CN,231853.0,False,3.0,178.58,0.07,0.99,125.89,1.76,14.04,57.28,1.58,1714124320.0
Luleburgaz,41.4056,27.3569,TR,148037.0,False,2.0,223.64,0.13,1.46,95.84,0.32,2.58,4.41,1.96,1714124324.0
Tumaco,1.81,-78.81,CO,86713.0,False,1.0,300.41,0.0,0.05,22.35,0.08,2.64,3.65,0.0,1714124326.0
Makassar,-5.1331,119.414,ID,1651146.0,False,2.0,1295.09,0.0,29.13,47.92,10.49,19.57,26.83,1.92,1714124332.0
Mirnyy,62.5333,113.95,RU,35223.0,False,2.0,233.65,0.02,0.47,90.84,0.05,0.5,0.5,0.02,1714124333.0
Kingston,17.9714,-76.7931,JM,580000.0,True,1.0,487.33,0.09,10.28,15.74,4.89,7.85,14.37,3.07,1714124335.0
Dubbo,-32.2569,148.601,AU,38392.0,False,1.0,233.65,0.0,1.8,35.76,0.85,4.62,5.45,0.54,1714124338.0
Siguiri,11.4171,-9.1666,GN,50159.0,False,3.0,343.8,0.05,0.36,45.42,0.23,28.49,58.49,1.25,1714124339.0
Anamosa,42.1091,-91.2758,US,5500.0,False,3.0,247.0,0.0,1.82,103.0,0.85,8.84,9.41,3.39,1714124342.0
Lagunas,-20.9829,-69.6833,CL,10.0,False,3.0,216.96,0.0,0.42,50.78,0.95,15.25,52.38,0.0,1714124344.0
Jalalpur Jattan,32.7667,74.2167,PK,90130.0,False,3.0,330.45,0.0,1.32,137.33,1.94,13.46,20.47,6.9,1714124346.0
Saint-Philippe,45.35,-73.47,CA,5495.0,False,2.0,494.0,4.86,40.1,1.61,16.21,8.2,12.37,11.27,1714124347.0
Luganville,-15.5126,167.177,VU,13397.0,False,1.0,191.93,0.0,0.03,13.59,0.02,1.75,2.78,0.1,1714124357.0
Mossel Bay,-34.1833,22.1333,ZA,59031.0,False,1.0,233.65,0.11,0.63,37.19,0.34,0.87,2.42,0.05,1714124358.0
Tiksi,71.6269,128.835,RU,5700.0,False,2.0,247.0,0.0,0.01,77.25,0.21,0.5,0.54,0.0,1714124360.0
Kamina,-8.73,25.01,CD,128803.0,False,1.0,257.02,0.02,0.07,39.34,0.06,4.81,5.69,0.33,1714124361.0
Port Lincoln,-34.7322,135.859,AU,16326.0,False,1.0,220.3,0.0,0.46,47.21,0.09,0.56,1.78,0.08,1714124363.0
Keflavik,64.0,-22.5819,IS,16463.0,False,2.0,226.97,0.03,0.18,85.83,0.1,0.5,0.87,0.16,1714124365.0
Cabo San Lucas,22.8897,-109.916,MX,81111.0,False,2.0,198.6,0.0,1.18,65.09,0.35,3.32,10.47,1.12,1714124373.0
Byalynichy,53.9956,29.7096,BY,10000.0,False,2.0,220.3,0.23,1.93,64.37,0.04,0.98,1.08,0.81,1714124374.0
Antsiranana,-12.2765,49.3115,MG,82937.0,False,1.0,230.31,0.01,0.06,18.77,0.05,0.5,0.87,0.08,1714124380.0
Az Zubayr,30.3892,47.7081,IQ,370000.0,False,5.0,340.46,0.51,5.06,240.33,10.49,30.64,109.19,0.2,1714124382.0
Kyrenia,35.3403,33.3192,CY,33207.0,False,3.0,210.29,0.03,0.25,113.01,0.84,12.57,35.57,0.97,1714124383.0
Iringa,-7.77,35.69,TZ,111820.0,False,1.0,210.29,0.02,0.12,13.95,0.05,0.5,1.03,0.31,1714124391.0
Fort St. John,56.2465,-120.848,CA,20155.0,False,2.0,211.95,0.0,0.53,71.53,0.01,0.5,0.51,3.42,1714124395.0
Port Alfred,-33.6,26.8833,ZA,17959.0,False,1.0,240.33,0.06,0.98,32.19,0.26,0.5,0.76,0.08,1714124396.0
Sisimiut,66.9389,-53.6722,GL,5539.0,False,2.0,226.97,0.0,0.22,84.4,0.07,0.5,0.5,0.01,1714124397.0
Kudahuvadhoo,2.6717,72.8936,MV,,False,1.0,226.97,0.01,0.01,11.8,0.01,0.5,1.07,0.0,1714124398.0
Radolfzell Am Bodensee,47.7369,8.9697,DE,31203.0,False,3.0,243.66,0.72,3.43,118.73,0.6,4.69,5.1,2.95,1714124400.0
Ulanhot,46.0726,122.072,CN,327081.0,False,2.0,226.97,0.02,1.15,87.26,0.22,0.5,0.8,5.51,1714124401.0
Saddiqabad,28.3006,70.1302,PK,189876.0,False,4.0,320.44,0.1,1.21,147.34,3.28,29.17,59.55,9.37,1714124417.0
Muynoq,43.7667,59.0333,UZ,18196.0,False,2.0,205.28,0.04,0.18,87.26,0.48,3.49,12.94,0.14,1714124422.0
Nakasongola,1.3089,32.4564,UG,6921.0,False,1.0,297.07,0.01,0.34,16.81,0.05,1.43,1.73,0.45,1714123860.0
Ancud,-41.8682,-73.8287,CL,28162.0,False,1.0,216.96,0.0,0.01,36.48,0.15,0.56,1.9,0.0,1714124423.0
Eisenstadt,47.8456,16.5189,AT,14476.0,False,3.0,243.66,0.18,0.81,115.87,0.25,2.52,2.86,1.24,1714124425.0
Dunedin,-45.8667,170.5,NZ,126255.0,False,1.0,213.62,0.0,0.5,32.9,0.09,0.5,0.71,0.52,1714124426.0
Pacific Grove,36.6192,-121.925,US,15413.0,False,2.0,216.96,0.0,0.38,95.84,0.6,1.34,3.86,0.0,1714124427.0
Puerto Ayora,-0.7444,-90.3139,EC,11822.0,False,1.0,247.0,0.0,0.1,23.6,0.04,1.35,4.84,0.08,1714124428.0
Three Points,32.0596,-111.287,US,5161.0,False,2.0,190.26,0.0,1.16,60.8,0.13,3.57,13.94,3.1,1714124429.0
Lerwick,60.155,-1.145,GB,6958.0,False,2.0,223.64,0.16,1.21,97.28,0.38,0.5,0.64,0.54,1714124431.0
Kostroma,57.7667,40.9333,RU,277648.0,False,2.0,216.96,0.14,2.04,77.25,3.99,4.24,4.41,0.4,1714124432.0
Ilulissat,69.2167,-51.1,GL,4670.0,False,2.0,230.31,0.0,0.1,95.84,0.01,0.5,0.5,0.01,1714124433.0
Sarh,9.15,18.3833,TD,169196.0,False,2.0,290.39,0.01,0.04,9.21,0.01,5.78,26.57,0.26,1714124434.0
Victoria Falls,-17.9333,25.8333,ZW,33060.0,False,2.0,283.72,0.05,0.25,53.64,2.41,11.18,14.3,0.17,1714124435.0
Tokmok,42.839,75.291,KG,53231.0,False,2.0,181.91,0.0,0.06,80.11,0.06,0.72,2.22,0.24,1714124437.0
Aydincik,36.1667,33.35,TR,11088.0,False,3.0,201.94,0.04,0.25,111.58,0.17,19.59,81.98,0.08,1714124438.0
Queenstown,-31.9,26.8833,ZA,105309.0,False,1.0,257.02,0.04,0.45,47.21,0.42,2.31,3.54,0.25,1714123847.0
Hinton,53.4114,-117.564,CA,9882.0,False,1.0,200.27,0.0,0.59,58.65,0.02,0.5,0.5,0.42,1714124439.0
Arafat,18.0583,-15.9621,MR,,False,4.0,377.18,0.08,0.35,40.77,0.4,27.54,155.25,1.66,1714124441.0
Kamloops,50.6761,-120.341,CA,100046.0,False,2.0,205.28,0.0,1.0,85.83,0.17,0.5,0.63,1.03,1714124442.0
Ternate,0.7833,127.367,ID,204215.0,False,1.0,230.31,0.0,0.49,15.02,0.27,0.55,1.0,0.26,1714124443.0
Conception Bay South,47.5167,-52.9833,CA,26199.0,False,2.0,240.33,0.02,0.8,85.12,0.98,0.5,1.66,0.03,1714124444.0
Madalena,38.5356,-28.5234,PT,6049.0,False,3.0,208.62,0.02,0.48,117.3,0.5,2.03,7.41,0.0,1714124445.0
Buenaventura,3.8724,-77.0505,CO,252805.0,False,1.0,283.72,0.0,0.27,15.2,0.06,0.98,1.07,0.34,1714124446.0
Tshabong,-26.02,22.4056,BW,9679.0,False,2.0,270.37,0.08,0.36,50.78,0.25,14.21,41.04,0.0,1714124448.0
Coari,-4.085,-63.1414,BR,53305.0,False,1.0,173.57,0.02,0.42,1.16,0.21,0.72,0.72,0.0,1714124449.0
Aginskoye,51.1031,114.523,RU,11491.0,False,2.0,213.62,0.0,0.08,89.41,0.01,0.5,0.55,0.15,1714124450.0
Whangarei,-35.725,174.324,NZ,52600.0,False,1.0,208.62,0.0,0.4,35.41,0.08,0.92,2.31,0.48,1714124451.0
Noshiromachi,40.2122,140.027,JP,50842.0,False,3.0,270.37,0.0,3.86,128.75,1.1,9.68,10.13,1.41,1714124452.0
