so2,aqi,dew,pm10,r,uvi,d,wd,co.v,h.v,no2.v,o3.v,p.v,pm25.v,t.v,w.v,wg.v,no2,wg,so2.v,co,o3,pm25,aqi.v,dew.v,pm10.v,h,p,t,w,r.v,uvi.v,d.v,wd.v,city
,,,,,,,,2.8,82.0,8.7,,1014.0,25.0,19.0,2.5,,,,3.1,,,,,16.0,13.0,,,,,,,,,shenjiamen
,,,,,,,,2.8,88.0,8.7,21.6,1001.0,46.0,28.0,6.6,,,,3.1,,,,,,25.0,,,,,,,,,macau
,,,,,,,,2.3,70.0,30.6,1.0,1029.9,19.0,5.0,0.5,7.2,,,,,,,,0.0,,,,,,,,,,colonia
,,,,,,,,1.0,30.0,2.8,,929.6,21.0,6.0,4.0,,,,2.6,,,,,-10.3,16.0,,,,,,,,,altay
,,,,,,,,2.6,69.6,4.2,53.1,1003.1,59.0,19.6,1.0,,,,2.3,,,,,13.9,22.0,,,,,99.2,,,,seogwipo
,,,,,,,,1.0,30.0,2.8,,929.6,21.0,6.0,4.0,,,,2.6,,,,,-10.3,16.0,,,,,,,,,altai
,,,,,,,,1.9,79.0,3.7,12.6,1003.0,57.0,31.0,1.5,,,,1.6,,,,,,28.0,,,,,,,,,dadonghai
,,,,,,,,,63.2,4.7,,1001.6,25.0,14.4,3.6,,,,1.5,,,,,7.5,9.0,,,,,99.0,,,,kushiro
,,,,,,,,2.9,83.6,,,1015.4,63.0,11.0,0.6,0.9,,,0.7,,,,,,31.0,,,,,,,,,machali
,,,,,,,,,79.6,,,1014.0,26.0,-1.6,4.0,7.6,,,,,,,,,35.0,,,,,,,,,harstad
,,,,,,,,17.3,20.985,52.1,4.8,733.5699999999999,131.0,32.89,0.05,9.2,,,2.2,,,,,10.0,104.0,,,,,,,,,jayapura
,,,,,,,,13.3,80.5,40.1,,1019.7,69.0,6.758,0.94,0.5,,,3.8,,,,,,24.0,,,,,,,,,christchurch
,,,,,,,,0.8,94.0,1.1,22.5,8.81,1.0,106.1,6.4,,,,0.5,,,,,,,,,,,,,,,portland
,,,,,,,,,30.0,,,976.3,15.0,27.3,2.2,,,,0.6,,,,,6.9,12.0,,,,,,,,144.0,mount isa
,,,,,,,,,54.4,,25.6,940.6,23.0,10.4,4.0,7.2,,,,,,,,,32.0,,,,,,,,,brookings
,,,,,,,,3.4,89.3,14.4,16.8,1036.4,20.0,12.0,0.1,0.1,,,0.2,,,,,,15.0,,,,,,,,,bela
,,,,,,,,3.0,70.8,3.0,23.0,988.4,17.0,32.8,2.0,,,,6.0,,,,,26.8,10.0,,,,,1.8,,,,cam pha mines
,,,,,,,,2.3,79.3,2.5,16.0,1011.4,13.0,12.7,2.8,9.6,,,0.3,,,,,,,,,,,,,,,todos santos
,,,,,,,,3.2,3.0,27.6,18.0,1028.9,26.0,2.0,0.1,0.6,,,,,,,,,,,,,,,,,,freeport
,,,,,,,,0.9,61.0,3.8,29.6,,15.0,11.4778,0.3,0.3,,,,,,,,,,,,,,,,,,box elder
,,,,,,,,0.1,93.0,0.4,11.2,1010.8,8.0,1.0,2.0,8.7,,,0.4,,,,,0.0,5.0,,,,,,,,,corner brook
,,,,,,,,,71.2,,,1010.1,,6.4,4.5,7.2,,,,,,,,,,,,,,,,,,oneida
,,,,,,,,,,4.8,58.8,,49.0,,,,,,41.2,,,,,,59.0,,,,,,,,,zayed city
,,,,,,,,1.0,74.5,9.6,,991.6,25.0,15.0,4.0,7.5,,,3.2,,,,,,8.0,,,,,,,,,petrovskaya
,,,,,,,,5.6,83.7,16.0,22.4,964.8,144.0,18.4,3.0,,,,12.7,,,,,15.6,73.0,,,,,99.2,,,,xixiang
,,,,,,,,3.0,45.3,1.4,45.5,1005.7,38.0,9.6,6.6,14.3,,,4.6,,,,,,18.0,,,,,,,,,ankang
,,,,,,,,,84.3,,,851.8,,23.6,1.0,,,,,,,,,20.8,72.0,,,,,0.3,,,,trinidad
,,,,,,,,1.9,91.0,1.4,35.0,750.4,21.0,0.4,2.0,,,,4.1,,,,,-0.9,9.0,,,,,0.9,,,,kangding
,,,,,,,,6.4,45.0,9.6,36.6,1012.5,74.0,17.2,2.7,,,,2.1,,,,,4.3,34.0,,,,,99.1,,,,dingcheng
,,,,,,,,,87.0,9.7,26.8,1001.0,,7.0,4.1,12.3,,,,,,,,5.0,5.0,,,,,,,,,groningen
